transcript_id,transcript_position,score
ENST00000000233,244,0.021373719
ENST00000000233,261,0.09208918
ENST00000000233,316,0.020643836
ENST00000000233,332,0.09082622
ENST00000000233,368,0.1553096
ENST00000000233,404,0.1134058
ENST00000000233,431,0.1716625
ENST00000000233,440,0.034623675
ENST00000000233,471,0.5085217
ENST00000000233,539,0.11419877
ENST00000000233,571,0.10584192
ENST00000000233,575,0.07779669
ENST00000000233,665,0.45300347
ENST00000000233,696,0.0055402406
ENST00000000233,752,0.03348457
ENST00000000233,757,0.114828974
ENST00000000233,765,0.31064668
ENST00000000233,913,0.31448555
ENST00000000412,355,0.088297255
ENST00000000412,367,0.112016566
ENST00000000412,496,0.04882444
ENST00000000412,501,0.29799205
ENST00000000412,547,0.111799024
ENST00000000412,559,0.12673603
ENST00000000412,627,0.015397926
ENST00000000412,674,0.041796915
ENST00000000412,769,0.030113343
ENST00000000412,783,0.06831669
ENST00000000412,793,0.1712127
ENST00000000412,854,0.05543143
ENST00000000412,923,0.05430948
ENST00000000412,932,0.0052337227
ENST00000000412,1190,0.1219495
ENST00000000412,1209,0.042859297
ENST00000000412,1250,0.11281569
ENST00000000412,1283,0.087858036
ENST00000000412,1343,0.01003695
ENST00000000412,1458,0.085834526
ENST00000000412,1545,0.04094761
ENST00000000412,1570,0.090847924
ENST00000000412,1638,0.0108668795
ENST00000000412,1661,0.25678736
ENST00000000412,1699,0.08042737
ENST00000000412,1790,0.39559802
ENST00000000412,1860,0.25276306
ENST00000000412,1888,0.025686674
ENST00000000412,1960,0.1744105
ENST00000000412,1986,0.39795136
ENST00000000412,2195,0.040680397
ENST00000000412,2230,0.040855255
ENST00000000412,2275,0.08933478
ENST00000000412,2434,0.00974824
ENST00000000412,2440,0.939898
ENST00000000412,2462,0.25870836
ENST00000000412,2484,0.013389547
ENST00000000412,2499,0.66833925
ENST00000000412,2564,0.034296747
ENST00000000412,2580,0.9332662
ENST00000000412,2618,0.028234074
ENST00000000412,2707,0.0067710555
ENST00000000412,2728,0.059085667
ENST00000001008,190,0.04413171
ENST00000001008,257,0.16567554
ENST00000001008,270,0.016820213
ENST00000001008,338,0.055632263
ENST00000001008,389,0.1463507
ENST00000001008,410,0.15510362
ENST00000001008,425,0.05843355
ENST00000001008,458,0.14038843
ENST00000001008,510,0.03642936
ENST00000001008,652,0.05654059
ENST00000001008,725,0.31502044
ENST00000001008,737,0.05616743
ENST00000001008,776,0.102917835
ENST00000001008,831,0.044125203
ENST00000001008,990,0.09752308
ENST00000001008,1179,0.07334444
ENST00000001008,1214,0.0065699164
ENST00000001008,1227,0.44978514
ENST00000001008,1232,0.16092342
ENST00000001008,1289,0.09420961
ENST00000001008,1296,0.6144669
ENST00000001008,1357,0.0033473386
ENST00000001008,1454,0.12076371
ENST00000001008,1484,0.07647626
ENST00000001008,1496,0.11635226
ENST00000001008,1555,0.07826729
ENST00000001008,1642,0.08148057
ENST00000001008,1666,0.041184146
ENST00000001008,1793,0.17963658
ENST00000001008,1905,0.3073131
ENST00000001008,1924,0.18110666
ENST00000001008,2002,0.21129674
ENST00000001008,2013,0.0037845764
ENST00000001008,2095,0.05581682
ENST00000001008,2242,0.010952105
ENST00000002165,35,0.013922377
ENST00000002165,54,0.12761632
ENST00000002165,207,0.04775571
ENST00000002165,367,0.20738171
ENST00000002165,449,0.11063974
ENST00000002165,457,0.012808823
ENST00000002165,501,0.36560482
ENST00000002165,534,0.13530238
ENST00000002165,547,0.30831742
ENST00000002165,567,0.06554428
ENST00000002165,572,0.23659344
ENST00000002165,576,0.09220813
ENST00000002165,589,0.9314678
ENST00000002165,680,0.029445784
ENST00000002165,708,0.12649298
ENST00000002165,771,0.07458381
ENST00000002165,900,0.0021935543
ENST00000002165,907,0.36210686
ENST00000002165,933,0.03967185
ENST00000002165,941,0.06169964
ENST00000002165,948,0.053298026
ENST00000002165,952,0.0537248
ENST00000002165,990,0.12879033
ENST00000002165,1031,0.06517048
ENST00000002165,1163,0.006849
ENST00000002165,1188,0.0741373
ENST00000002165,1273,0.23206107
ENST00000002165,1324,0.02544839
ENST00000002165,1339,0.6613475
ENST00000002165,1350,0.08670037
ENST00000002165,1387,0.07708094
ENST00000002165,1400,0.004422653
ENST00000002165,1445,0.7588747
ENST00000002165,1506,0.40894714
ENST00000002165,1553,0.090209685
ENST00000002165,1630,0.0025967879
ENST00000002165,1639,0.07665156
ENST00000002596,968,0.032413337
ENST00000002596,1050,0.14695907
ENST00000002596,1100,0.107370354
ENST00000002596,1132,0.061418474
ENST00000002596,1280,0.5275762
ENST00000002596,1343,0.039261326
ENST00000002596,1532,0.05486701
ENST00000002596,1584,0.16375022
ENST00000002596,1617,0.030814877
ENST00000002596,1641,0.25844455
ENST00000002596,1734,0.9594022
ENST00000002596,1779,0.62155336
ENST00000002596,1842,0.7240566
ENST00000002596,1908,0.7635421
ENST00000002596,1920,0.012735856
ENST00000002596,1925,0.0324455
ENST00000002596,1950,0.29534233
ENST00000002596,1962,0.103523225
ENST00000002596,2014,0.056597114
ENST00000002596,2026,0.26165172
ENST00000002596,2081,0.17432737
ENST00000002596,2088,0.6329748
ENST00000002596,2122,0.8074574
ENST00000002596,2314,0.020638973
ENST00000002596,2344,0.6380496
ENST00000002596,2349,0.036186352
ENST00000002596,2414,0.108271174
ENST00000002596,2668,0.10520079
ENST00000002596,2745,0.041847803
ENST00000003100,1022,0.040091004
ENST00000003100,1072,0.1337668
ENST00000003100,1172,0.0571701
ENST00000003100,1177,0.0041383323
ENST00000003100,1210,0.019721406
ENST00000003100,1240,0.092795014
ENST00000003100,1247,0.021701844
ENST00000003100,1291,0.015005098
ENST00000003100,1299,0.11358583
ENST00000003100,1305,0.09911325
ENST00000003100,1339,0.49545535
ENST00000003100,1348,0.031919353
ENST00000003100,1413,0.08226948
ENST00000003100,1421,0.31381178
ENST00000003100,1442,0.3646192
ENST00000003100,1472,0.0010691233
ENST00000003100,1564,0.083699025
ENST00000003100,1661,0.010569443
ENST00000003100,1773,0.006437462
ENST00000003100,1845,0.029382704
ENST00000003100,1880,0.020971853
ENST00000003100,1937,0.016912391
ENST00000003100,2055,0.36655447
ENST00000003100,2105,0.009019452
ENST00000003100,2175,0.037977953
ENST00000003100,2272,0.06584374
ENST00000003100,2310,0.13495505
ENST00000003100,2360,0.26851457
ENST00000003100,2737,0.45698395
ENST00000003100,2744,0.0709975
ENST00000003100,2873,0.016893325
ENST00000003100,2880,0.0031332045
ENST00000003100,2884,0.060859807
ENST00000003100,2916,0.28095073
ENST00000003100,2940,0.061587904
ENST00000003100,3020,0.105718486
ENST00000003100,3032,0.11917779
ENST00000003100,3126,0.017136684
ENST00000003100,3136,0.08814265
ENST00000003100,3147,0.13069284
ENST00000005257,470,0.059592683
ENST00000005257,504,0.1984974
ENST00000005257,525,0.014986116
ENST00000005257,600,0.13079478
ENST00000005257,696,0.2255257
ENST00000005257,759,0.007617904
ENST00000005257,784,0.0034406974
ENST00000005257,810,0.008310825
ENST00000005257,834,0.038748965
ENST00000005257,845,0.0057564084
ENST00000005257,857,0.007146923
ENST00000005257,873,0.040881965
ENST00000005257,924,0.018878382
ENST00000005257,2254,0.08467635
ENST00000005257,2323,0.14846803
ENST00000005257,2390,0.0044251774
ENST00000005257,2440,0.13072181
ENST00000005257,2473,0.0045845145
ENST00000005257,2512,0.24637742
ENST00000005257,2642,0.019191712
ENST00000005257,2696,0.0042713783
ENST00000005257,2709,0.0014027366
ENST00000005257,2716,0.00921562
