gene_id,transcript_id,transcript_position,label
ENSG00000171867,ENST00000379440,1358,0
ENSG00000139289,ENST00000266671,2912,1
ENSG00000139168,ENST00000266529,405,0
ENSG00000134684,ENST00000373477,2890,1
ENSG00000107949,ENST00000278100,971,1
ENSG00000108406,ENST00000251241,2227,1
ENSG00000151247,ENST00000450253,2977,0
ENSG00000124541,ENST00000244496,920,1
ENSG00000142230,ENST00000414294,1271,1
ENSG00000166333,ENST00000299421,1544,1
ENSG00000232421,ENST00000432462,900,0
ENSG00000171858,ENST00000492356,368,0
ENSG00000140307,ENST00000396063,414,0
ENSG00000167978,ENST00000301740,6729,0
ENSG00000111057,ENST00000388835,697,0
ENSG00000175029,ENST00000337195,2168,1
ENSG00000141582,ENST00000269397,1102,1
ENSG00000096080,ENST00000372133,205,0
ENSG00000138166,ENST00000369583,1698,1
ENSG00000169679,ENST00000302759,2638,0
ENSG00000187713,ENST00000343666,1308,1
ENSG00000173207,ENST00000308987,235,0
ENSG00000159202,ENST00000360943,1141,1
ENSG00000004455,ENST00000354858,162,0
ENSG00000095261,ENST00000210313,2032,0
ENSG00000142864,ENST00000370994,295,0
ENSG00000167526,ENST00000393099,986,1
ENSG00000099817,ENST00000615234,147,0
ENSG00000131620,ENST00000355303,4455,0
ENSG00000160783,ENST00000368277,764,1
ENSG00000152684,ENST00000274311,1787,0
ENSG00000158850,ENST00000622395,2078,0
ENSG00000127314,ENST00000250559,868,0
ENSG00000160917,ENST00000292476,1462,1
ENSG00000166441,ENST00000314138,640,1
ENSG00000128050,ENST00000512576,589,0
ENSG00000173486,ENST00000309366,332,0
ENSG00000175793,ENST00000339276,598,1
ENSG00000116288,ENST00000338639,631,0
ENSG00000149257,ENST00000358171,1214,0
ENSG00000119396,ENST00000373840,1039,0
ENSG00000160710,ENST00000368474,5772,0
ENSG00000095002,ENST00000233146,838,0
ENSG00000143549,ENST00000341372,1539,0
ENSG00000105058,ENST00000263384,1223,0
ENSG00000198901,ENST00000361188,2261,0
ENSG00000143742,ENST00000366839,1036,0
ENSG00000106462,ENST00000492143,3181,0
ENSG00000107949,ENST00000278100,722,0
ENSG00000110090,ENST00000265641,4506,0
ENSG00000140105,ENST00000355338,1237,0
ENSG00000122705,ENST00000242285,588,0
ENSG00000092621,ENST00000369409,909,0
ENSG00000138166,ENST00000369583,1504,1
ENSG00000171314,ENST00000334828,206,1
ENSG00000205609,ENST00000380876,2632,0
ENSG00000276045,ENST00000617316,1057,1
ENSG00000114779,ENST00000483233,1748,0
ENSG00000096384,ENST00000371646,1946,1
ENSG00000183255,ENST00000330938,939,1
ENSG00000182718,ENST00000451270,863,0
ENSG00000163527,ENST00000295770,1999,0
ENSG00000070423,ENST00000605891,202,0
ENSG00000165527,ENST00000298316,3077,0
ENSG00000085719,ENST00000517490,2246,0
ENSG00000105976,ENST00000397752,5481,0
